;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
277;Pulp Fiction: Tempo de Violência;10/09/1994;8.5;28877;184.307;en;Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites. Enquanto isso, o pugilista Butch Coolidge se mete em apuros por ganhar uma luta que deveria perder.
278;Vale la pena, de Dani Rovira;10/07/2025;8.5;2;183.539;es;
279;Scarface;09/12/1983;8.2;12318;183.432;en;Após receber residência permanente nos Estados Unidos em troca do assassinato de um oficial do governo cubano, Tony Montana se torna o chefe do tráfico de drogas em Miami. Matando qualquer um que entre em seu caminho, Tony eventualmente se torna o maior traficante da Flórida, controlando quase toda a cocaína que entra em Miami. Porém, a pressão da polícia, as guerras com cartéis colombianos e sua própria paranoia servem para alimentar as chamas de sua eventual queda.
280;我為卿狂;15/11/1991;5.214;21;183.332;cn;
281;Desastre Total: Garoto do Balão;14/07/2025;5.647;17;164.637;en;Um disco voador caseiro sai voando, possivelmente carregando um garoto de 6 anos, e causa pânico nos EUA. Este documentário investiga o que realmente aconteceu.
282;Sipsipan;11/07/2025;7.5;2;176.358;tl;
283;Transformers - O Início;11/09/2024;8.1;1324;179.963;en;"Descrito como uma ""história de origem"" ambientada no planeta Cybertron, o filme será centrado na relação entre Optimus Prime e Megatron passando de irmãos de armas a arqui inimigos, e nas fundações das facções que eles liderarão e entrarão em conflito como Autobots e Decepticons."
284;Viva: A Vida é uma Festa;27/10/2017;8.204;20075;184.986;en;Apesar da desconcertante proibição da música imposta pela sua família há várias gerações, Miguel sonha em tornar-se um músico de sucesso como o seu ídolo, Ernesto de la Cruz. Desesperado para provar o seu talento, Miguel encontra-se na deslumbrante e colorida Terra dos Mortos, seguindo uma misteriosa cadeia de acontecimentos. Pelo caminho, conhece o encantador Hector e, juntos, partem numa extraordinária viagem para desvendar a verdadeira história por detrás da história da família de Miguel.
285;O Senhor dos Anéis: As Duas Torres;18/12/2002;8.408;22741;17.833;en;Após a captura de Merry e Pippy pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e descobrem que estão sendo perseguidos pelo misterioso Gollum. Enquanto isso, Aragorn, o elfo e arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Theoden foi vítima de uma maldição mortal de Saruman.
286;Harry Potter e as Relíquias da Morte - Parte 2;12/07/2011;8.1;21143;172.242;en;No final épico, a batalha entre as forças do bem e do mal no mundo da bruxaria toma proporções de uma guerra mundial. As apostas nunca foram tão altas e ninguém está a salvo. Mas é harry que pode ser convocado para fazer um derradeiro sacrifício, à medida que ele se aproxima cada vez mais do confronto final com Lorde Voldemort. Tudo termina aqui.
287;À Espera de um Milagre;10/12/1999;8.504;18219;26.755;en;Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.
288;Miocardio;24/01/2025;6.0;4;188.604;es;
289;Nosferatu;25/12/2024;6.706;2834;173.456;en;Um conto gótico de obsessão entre uma jovem assombrada na Alemanha do século XIX e o antigo vampiro da Transilvânia que a persegue, trazendo consigo um horror incalculável.
290;我為卿狂;15/11/1991;5.214;21;183.332;cn;
291;Homem-Aranha: De Volta ao Lar;05/07/2017;7.331;22337;180.681;en;Depois de atuar ao lado dos Vingadores, chegou a hora do pequeno Peter Parker voltar para casa e para a sua vida, já não mais tão normal. Lutando diariamente contra pequenos crimes nas redondezas, ele pensa ter encontrado a missão de sua vida quando o terrível vilão Abutre surge amedrontando a cidade. O problema é que a tarefa não será tão fácil como ele imaginava.
292;Confinado;20/03/2025;6.3;237;16.098;en;O assaltante Eddie invade um SUV de luxo acreditando ter encontrado o alvo perfeito, mas cai em uma armadilha mortal. O veículo pertence a William, um autoproclamado justiceiro que impõe sua própria visão de justiça. Transformado em uma prisão sobre rodas, o carro torna cada movimento uma ameaça. Sem saída e à mercê de um inimigo frio e calculista, Eddie precisa lutar para sobreviver nesse jogo implacável.
293;Major Imortal;31/10/2024;7.374;238;165.929;ta;Honra, amor e sacrifício entram em conflito na vida do major Mukund Varadarajan e de sua esposa Indhu quando ele começa a subir na hierarquia do exército indiano.
294;Quarteto Fantástico;29/06/2005;5.791;9539;225.524;en;O cientista Reed Richards convence seu arrogante colega Victor von Doom a financiar seus experimentos com energia cósmica. Na estação espacial Von Doom, a tripulação, incluindo o astronauta Ben Grimm, a pesquisadora Sue Storm e o piloto Johnny Storm, é exposta a uma tempestade cósmica misteriosa que dá superpoderes a eles. Eles tentam lidar com suas transformações enquanto o detestável von Doom jura vingança.
295;Soldado Tin;22/05/2025;4.739;71;168.793;en;Um ex-agente das forças especiais busca vingança contra um líder de culto que corrompeu seus antigos companheiros, os Shinjas. Este líder, conhecido como Bokushi, promete aos veteranos um propósito e proteção, mas se revela uma influência destrutiva. O ex-soldado, Nash Cavanaugh, une forças com o agente militar Emmanuel Ashburn para se infiltrar na fortaleza dos Bokushi e expor seu reinado de terror.
296;John Wick: Um Novo Dia para Matar;08/02/2017;7.3;13556;171.887;en;O lendário John Wick é forçado a deixar a aposentadoria em função de um criminoso que conspira para tomar o controle de um clã de assassinos internacionais. Por causa de um pacto de sangue, John Wick viaja para Roma, com o objetivo de ajudar um velho amigo a derrubar a organização internacional secreta, perigosa e mortal de assassinos procurados em todo o mundo.
297;Zootopia: Essa Cidade é o Bicho;11/02/2016;7.748;16797;179.905;en;Judy Hopps é a pequena coelha de uma fazenda isolada, filha de agricultores que plantam cenouras há décadas. Mas ela tem sonhos maiores: pretende se mudar para a cidade grande, Zootopia, onde todas as espécies de animais convivem em harmonia, na intenção de se tornar a primeira coelha policial. Judy enfrenta o preconceito e as manipulações dos outros animais, mas conta com a ajuda inesperada da raposa Nick Wilde, conhecida por sua malícia e suas infrações. A inesperada dupla se dedica à busca de um animal desaparecido, descobrindo uma conspiração que afeta toda a cidade.
298;Chespirito: El Niño Que Somos;10/01/2001;7.818;11;17.202;es;
299;Batman Ninja vs. Liga da Yakuza;17/03/2025;6.686;188;173.857;ja;Nesta continuação de Batman Ninja, a Família Batman volta ao presente e descobre que o Japão desapareceu, e agora uma ilha gigante chamada “Hinomoto” flutua nos céus de Gotham City. No topo estão os Yakuza, um grupo de indivíduos superpoderosos que reinam sem honra ou humanidade e se parecem estranhamente com a Liga da Justiça. Agora, cabe a Batman e seus aliados salvar Gotham!
300;Deadpool;09/02/2016;7.623;31748;170.767;en;Baseado no anti-herói não convencional da Marvel Comics, Deadpool conta a história da origem do ex-agente das Forças Especiais que se tornou o mercenário Wade Wilson. Depois de ser submetido a um desonesto experimento que o deixa com poderes de cura acelerada, Wade adota o alter ego de Deadpool. Armado com suas novas habilidades e um senso de humor negro e distorcido, Deadpool persegue o homem que quase destruiu sua vida.
