;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
74;O Palhaço no Milharal;08/05/2025;6.297;171;533.494;en;Quinn e o pai se mudam para Kettle Springs em busca de um recomeço, mas acabam se deparando com uma comunidade que enfrenta dificuldades desde que a fábrica de xarope de milho Baypen pegou fogo. Enquanto os moradores brigam entre si, uma figura emerge dos milharais para purificar a cidade, uma vítima de cada vez. Bem-vindo a Kettle Springs. A diversão só começa quando Frendo aparece para brincar.
75;Família, Pero no Mucho;17/07/2025;6.615;13;493.927;pt;Um pai brasileiro viaja até Bariloche com a família para conhecer os futuros sogros da filha — até que tudo acaba em treta.
76;Jurassic World: Domínio;01/06/2022;6.6;6540;491.073;en;Quatro anos após a destruição da Ilha Nublar, os dinossauros agora vivem – e caçam – ao lado de humanos em todo o mundo. Esse frágil equilíbrio remodelará o futuro e determinará, de uma vez por todas, se os seres humanos continuarão sendo os principais predadores em um planeta que agora compartilham com as criaturas mais temíveis da história.
77;Entre Montanhas;13/02/2025;7.726;2822;482.378;en;Dois agentes altamente treinados se aproximam à distância após serem enviados para proteger lados opostos de um desfiladeiro misterioso. Quando um mal emerge, eles precisam trabalhar juntos para sobreviver ao que está lá dentro.
78;Sonic 3: O Filme;19/12/2024;7.681;2794;481.562;en;Sonic, Knuckles e Tails se reúnem contra um novo e poderoso adversário, Shadow, um vilão misterioso com poderes diferentes de tudo que eles já enfrentaram antes. Com suas habilidades superadas em todos os sentidos, a Equipe Sonic deve buscar uma aliança improvável na esperança de parar Shadow e proteger o planeta.
79;Capitão América: Admirável Mundo Novo;12/02/2025;6.04;2415;480.431;en;Após se encontrar com o recém-eleito presidente dos EUA, Thaddeus Ross, Sam se vê no meio de um incidente internacional. Ele deve descobrir o motivo por trás de uma conspiração global nefasta antes que o verdadeiro gênio faça o mundo inteiro ser dominado pelo vermelho.
80;Branca de Neve;12/03/2025;4.3;1291;474.534;en;Quando a Rainha Má manda matarem sua enteada por inveja de sua beleza, Branca de Neve foge do reino. Ela percorre a floresta e acha uma casinha onde vivem sete anões amigáveis com quem passa viver. Porém, a moça ainda não está a salvo, já que a bruxa planeja dar um fim a sua vida com uma maçã envenenada.
81;Tempo de Guerra;09/04/2025;7.168;770;44.875;en;Tempo de Guerra faz o espectador se juntar a um pelotão de SEALs da Marinha dos EUA em uma missão de vigilância em território insurgente que não sai conforme o planejado. Uma história visceral e crua sobre a guerra moderna e o sentimento de fraternidade, contada como nunca antes: em tempo real, com base nas memórias daqueles que lutaram.
82;Divertida Mente 2;11/06/2024;7.554;5995;44.888;en;Divertida Mente 2, da Disney e da Pixar, retorna à mente da adolescente Riley, e o faz no momento em que a sala de comando está passando por uma demolição repentina para dar lugar a algo totalmente inesperado: novas emoções! Alegria, Tristeza, Raiva, Medo e Nojinho não sabem bem como reagir quando Ansiedade aparece, e tudo indica que ela não está sozinha.
83;M3GAN;28/12/2022;7.1;4361;405.856;en;Uma brilhante roboticista de uma empresa de brinquedos usa inteligência artificial para desenvolver M3GAN, uma boneca realista programada para se relacionar emocionalmente com sua sobrinha recém-órfã. Mas quando a programação da boneca funciona muito bem, ela se torna superprotetora de sua nova amiga... com resultados aterrorizantes.
